region;site;NAOdjfm;annee;poules;jeunes
alpes_nord;8210404;2.1;1990;24;34
alpes_nord;8210510;2.1;1990;4;9
alpes_sud;8420802;2.1;1990;19;38
alpes_sud;8420901;2.1;1990;4;10
alpes_int;8420204;2.1;1990;38;31
alpes_int;8420205;2.1;1990;8;13
pre_alpes_occ;8210615;2.1;1990;13;7
alpes_nord;8210404;0.62;1991;25;47
alpes_nord;8210304;0.62;1991;27;35
alpes_nord;8210510;0.62;1991;5;9
alpes_sud;8420802;0.62;1991;8;14
alpes_sud;8420901;0.62;1991;7;7
alpes_int;8420204;0.62;1991;43;28
alpes_int;8420205;0.62;1991;14;28
pre_alpes_occ;8210615;0.62;1991;8;17
alpes_nord;8210404;1.95;1992;30;24
alpes_nord;8210304;1.95;1992;29;22
alpes_nord;8210510;1.95;1992;5;10
alpes_sud;8420802;1.95;1992;17;10
alpes_sud;8420901;1.95;1992;4;2
alpes_int;8420204;1.95;1992;42;26
alpes_int;8420205;1.95;1992;14;2
pre_alpes_occ;8210615;1.95;1992;12;21
alpes_nord;8210404;1.92;1993;21;15
alpes_nord;8210304;1.92;1993;31;20
alpes_nord;8210510;1.92;1993;4;2
alpes_sud;8420802;1.92;1993;12;8
alpes_sud;8420901;1.92;1993;2;1
alpes_int;8420201;1.92;1993;7;9
alpes_int;8420204;1.92;1993;34;52
alpes_int;8420205;1.92;1993;7;11
pre_alpes_occ;8210615;1.92;1993;15;14
alpes_nord;8210404;0.87;1994;23;42
alpes_nord;8210304;0.87;1994;23;54
alpes_nord;8210510;0.87;1994;6;12
alpes_sud;8420802;0.87;1994;4;4
alpes_sud;8420901;0.87;1994;3;5
alpes_nord;8410101;0.87;1994;10;16
alpes_int;8420201;0.87;1994;9;12
alpes_int;8420204;0.87;1994;44;95
alpes_int;8420205;0.87;1994;33;33
pre_alpes_occ;8210615;0.87;1994;8;9
alpes_nord;8210404;1.37;1995;24;45
alpes_nord;8210304;1.37;1995;34;57
alpes_nord;8210510;1.37;1995;8;14
alpes_sud;8420802;1.37;1995;18;28
alpes_sud;8420901;1.37;1995;7;14
alpes_nord;8410101;1.37;1995;8;28
alpes_int;8420201;1.37;1995;11;9
alpes_int;8420204;1.37;1995;67;177
alpes_int;8420205;1.37;1995;30;61
pre_alpes_occ;8210615;1.37;1995;8;9
alpes_nord;8210404;-1.46;1996;17;2
alpes_nord;8410504;-1.46;1996;18;19
alpes_nord;8210304;-1.46;1996;29;31
alpes_nord;8210508;-1.46;1996;24;13
alpes_nord;8210510;-1.46;1996;5;2
alpes_sud;8420802;-1.46;1996;10;3
alpes_sud;8420901;-1.46;1996;3;9
alpes_nord;8411203;-1.46;1996;3;2
alpes_nord;8410101;-1.46;1996;6;6
alpes_int;8420204;-1.46;1996;45;104
alpes_int;8420205;-1.46;1996;15;34
pre_alpes_occ;8210615;-1.46;1996;8;2
alpes_nord;8210404;0.79;1997;15;21
alpes_nord;8410202;0.79;1997;5;5
alpes_nord;8410203;0.79;1997;6;4
alpes_nord;8410204;0.79;1997;8;7
alpes_nord;8210303;0.79;1997;5;1
alpes_nord;8210304;0.79;1997;24;31
alpes_nord;8210508;0.79;1997;30;37
alpes_nord;8210510;0.79;1997;5;8
pre_alpes_occ;8210702;0.79;1997;3;1
pre_alpes_occ;8210703;0.79;1997;4;5
alpes_int;8410702;0.79;1997;9;19
alpes_int;8410703;0.79;1997;12;16
alpes_sud;8420802;0.79;1997;12;7
alpes_sud;8420901;0.79;1997;2;3
alpes_nord;8411203;0.79;1997;9;2
alpes_nord;8410101;0.79;1997;8;1
alpes_int;8420204;0.79;1997;55;106
alpes_int;8420205;0.79;1997;13;24
alpes_int;8410601;0.79;1997;1;6
alpes_int;8410603;0.79;1997;3;10
alpes_nord;8410402;0.79;1997;8;10
alpes_nord;8410404;0.79;1997;6;3
alpes_nord;8410405;0.79;1997;4;0
pre_alpes_occ;8310302;0.79;1997;4;9
pre_alpes_occ;8210615;0.79;1997;5;7
alpes_nord;8210404;0.03;1998;11;18
alpes_nord;8410202;0.03;1998;7;12
alpes_nord;8410203;0.03;1998;11;18
alpes_nord;8410204;0.03;1998;14;27
alpes_nord;8410504;0.03;1998;6;13
alpes_nord;8410506;0.03;1998;3;1
alpes_nord;8210303;0.03;1998;4;3
alpes_nord;8210304;0.03;1998;17;26
alpes_nord;8210305;0.03;1998;5;0
alpes_nord;8210103;0.03;1998;13;23
alpes_nord;8210508;0.03;1998;21;44
alpes_nord;8210510;0.03;1998;7;12
pre_alpes_occ;8210702;0.03;1998;4;4
pre_alpes_occ;8210703;0.03;1998;6;10
alpes_int;8410701;0.03;1998;2;0
alpes_int;8410702;0.03;1998;7;16
alpes_int;8410703;0.03;1998;3;13
alpes_sud;8420802;0.03;1998;10;17
alpes_sud;8420901;0.03;1998;2;4
alpes_nord;8411203;0.03;1998;16;34
alpes_nord;8411207;0.03;1998;12;2
alpes_nord;8410101;0.03;1998;2;3
alpes_int;8420204;0.03;1998;50;32
alpes_int;8420205;0.03;1998;5;1
alpes_int;8410601;0.03;1998;1;4
alpes_int;8410603;0.03;1998;2;9
alpes_nord;8410402;0.03;1998;3;3
alpes_nord;8410404;0.03;1998;17;22
alpes_nord;8410405;0.03;1998;11;12
pre_alpes_occ;8310302;0.03;1998;7;23
pre_alpes_occ;8210604;0.03;1998;24;43
pre_alpes_occ;8210615;0.03;1998;7;9
alpes_nord;8210201;0.68;1999;5;11
alpes_nord;8210404;0.68;1999;14;16
alpes_nord;8410202;0.68;1999;5;9
alpes_nord;8410203;0.68;1999;17;17
alpes_nord;8410204;0.68;1999;16;24
alpes_nord;8410504;0.68;1999;7;30
alpes_nord;8410506;0.68;1999;4;1
alpes_nord;8210303;0.68;1999;1;4
alpes_nord;8210304;0.68;1999;28;56
alpes_nord;8210305;0.68;1999;7;6
alpes_nord;8210103;0.68;1999;14;36
alpes_nord;8210112;0.68;1999;8;12
alpes_nord;8210508;0.68;1999;20;41
alpes_nord;8210510;0.68;1999;8;11
pre_alpes_occ;8210702;0.68;1999;2;6
pre_alpes_occ;8210703;0.68;1999;8;16
alpes_int;8410701;0.68;1999;1;0
alpes_int;8410702;0.68;1999;4;11
alpes_int;8410703;0.68;1999;11;17
alpes_sud;8420802;0.68;1999;8;19
alpes_sud;8420901;0.68;1999;3;8
alpes_nord;8411201;0.68;1999;6;6
alpes_nord;8411203;0.68;1999;15;21
alpes_nord;8411207;0.68;1999;9;7
alpes_nord;8410101;0.68;1999;5;10
alpes_int;8420204;0.68;1999;29;16
alpes_int;8420205;0.68;1999;5;4
alpes_int;8410601;0.68;1999;2;0
alpes_int;8410603;0.68;1999;8;22
alpes_nord;8410402;0.68;1999;12;25
alpes_nord;8410404;0.68;1999;12;8
pre_alpes_occ;8310302;0.68;1999;3;7
pre_alpes_occ;8210604;0.68;1999;21;35
pre_alpes_occ;8210615;0.68;1999;3;3
alpes_nord;8210201;1.73;2000;4;7
alpes_nord;8210404;1.73;2000;21;23
alpes_nord;8410202;1.73;2000;4;7
alpes_nord;8410203;1.73;2000;9;12
alpes_nord;8410204;1.73;2000;14;35
alpes_nord;8410503;1.73;2000;3;5
alpes_nord;8410504;1.73;2000;5;11
alpes_nord;8410506;1.73;2000;3;5
alpes_nord;8210303;1.73;2000;3;2
alpes_nord;8210304;1.73;2000;28;47
alpes_nord;8210305;1.73;2000;6;3
alpes_nord;8210103;1.73;2000;7;9
alpes_nord;8210112;1.73;2000;17;13
alpes_nord;8210508;1.73;2000;30;45
alpes_nord;8210510;1.73;2000;5;8
pre_alpes_occ;8210702;1.73;2000;3;1
pre_alpes_occ;8210703;1.73;2000;10;18
alpes_int;8410701;1.73;2000;1;0
alpes_int;8410702;1.73;2000;14;31
alpes_int;8410703;1.73;2000;5;17
alpes_sud;8420802;1.73;2000;16;26
alpes_sud;8420901;1.73;2000;2;3
alpes_int;8411101;1.73;2000;11;13
alpes_nord;8411201;1.73;2000;17;17
alpes_nord;8411203;1.73;2000;19;24
alpes_nord;8411207;1.73;2000;7;24
alpes_nord;8410101;1.73;2000;4;7
alpes_int;8420204;1.73;2000;35;36
alpes_int;8420205;1.73;2000;6;4
alpes_int;8410601;1.73;2000;1;6
alpes_int;8410603;1.73;2000;3;14
alpes_nord;8410402;1.73;2000;11;24
alpes_nord;8410404;1.73;2000;29;30
alpes_nord;8410405;1.73;2000;3;7
pre_alpes_occ;8310302;1.73;2000;3;8
pre_alpes_occ;8210604;1.73;2000;26;62
pre_alpes_occ;8210615;1.73;2000;3;3
alpes_nord;8210201;-1.04;2001;7;9
alpes_nord;8210404;-1.04;2001;21;8
alpes_nord;8410202;-1.04;2001;7;14
alpes_nord;8410203;-1.04;2001;19;22
alpes_nord;8410204;-1.04;2001;26;27
alpes_nord;8410503;-1.04;2001;2;2
alpes_nord;8410504;-1.04;2001;6;18
alpes_nord;8210303;-1.04;2001;6;5
alpes_nord;8210304;-1.04;2001;27;27
alpes_nord;8210305;-1.04;2001;5;4
alpes_nord;8210103;-1.04;2001;15;18
alpes_nord;8210112;-1.04;2001;9;13
alpes_nord;8210508;-1.04;2001;28;52
alpes_nord;8210510;-1.04;2001;3;5
pre_alpes_occ;8210702;-1.04;2001;2;2
pre_alpes_occ;8210703;-1.04;2001;12;18
alpes_nord;8410301;-1.04;2001;6;11
alpes_int;8410702;-1.04;2001;18;49
alpes_int;8410703;-1.04;2001;4;5
alpes_sud;8420802;-1.04;2001;9;4
alpes_sud;8420901;-1.04;2001;2;4
alpes_int;8411101;-1.04;2001;7;0
alpes_nord;8411201;-1.04;2001;22;25
alpes_nord;8411203;-1.04;2001;8;19
alpes_nord;8411206;-1.04;2001;7;5
alpes_nord;8411207;-1.04;2001;5;12
alpes_nord;8410101;-1.04;2001;3;2
alpes_int;8420204;-1.04;2001;51;58
alpes_int;8420205;-1.04;2001;9;10
alpes_int;8410603;-1.04;2001;5;3
alpes_int;8410605;-1.04;2001;10;12
alpes_nord;8410402;-1.04;2001;12;24
alpes_nord;8410404;-1.04;2001;16;14
alpes_nord;8410405;-1.04;2001;12;14
pre_alpes_occ;8310302;-1.04;2001;5;22
pre_alpes_occ;8210604;-1.04;2001;20;61
pre_alpes_occ;8210615;-1.04;2001;5;5
alpes_nord;8210201;0.71;2002;12;15
alpes_nord;8210404;0.71;2002;14;14
alpes_nord;8410202;0.71;2002;8;8
alpes_nord;8410203;0.71;2002;10;29
alpes_nord;8410204;0.71;2002;16;33
alpes_nord;8410503;0.71;2002;5;8
alpes_nord;8410504;0.71;2002;6;14
alpes_nord;8410506;0.71;2002;1;0
alpes_nord;8210303;0.71;2002;8;18
alpes_nord;8210304;0.71;2002;29;43
alpes_nord;8210305;0.71;2002;6;5
alpes_nord;8420109;0.71;2002;27;16
alpes_nord;8210103;0.71;2002;24;49
alpes_nord;8210112;0.71;2002;10;14
alpes_nord;8210508;0.71;2002;25;54
